,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay_rate,params_decay_steps,params_ffn_dropout_at_input_no_act,params_ffn_dropout_p,params_ffn_hidden_list,params_initial_lr_rate,params_loss_aggr_type,params_message_aggregator_type,params_num_step_message_passing,params_weight_decay,state
0,0,0.581276468,09:41.8,05:30.4,0 days 00:55:48.586034,32,0.162967431,96,FALSE,0.197727183,"(256, 256)",0.000112734,mean,mean,2,7.19E-05,COMPLETE
1,1,0.580654218,09:41.9,31:48.5,0 days 01:22:06.630465,25,0.280122659,384,FALSE,0.059222835,"(512, 512)",0.002145274,mean,max,3,5.66E-05,COMPLETE
2,2,0.79860943,09:41.9,51:35.5,0 days 01:41:53.679645,16,0.730143137,96,TRUE,0.109754757,"(392, 392)",0.002605507,sum,max,2,7.59E-05,COMPLETE
3,3,0.536076612,09:41.9,42:08.3,0 days 01:32:26.482825,16,0.156494019,384,TRUE,0.433277398,"(392, 392)",0.000253052,mean,max,5,1.11E-05,PRUNED
4,4,0.762055526,09:41.9,49:12.9,0 days 01:39:31.069852,16,0.460076816,384,TRUE,0.403654184,"(512, 512)",0.00209071,sum,max,3,3.69E-06,PRUNED
5,5,0.681690769,09:41.9,37:11.4,0 days 01:27:29.514858,16,0.775467557,384,FALSE,0.221561972,"(256, 256)",0.000250764,mean,sum,3,2.02E-05,PRUNED
6,6,0.636576472,09:41.9,34:25.9,0 days 01:24:43.994457,25,0.550449763,764,TRUE,0.357146377,"(512, 512)",0.00483148,mean,mean,4,5.56E-06,COMPLETE
7,7,0.798583125,09:41.9,23:17.6,0 days 01:13:35.687541,32,0.515600354,96,FALSE,0.067266355,"(392, 392)",0.001925377,mean,max,4,2.91E-06,COMPLETE
8,8,0.73247428,09:41.9,34:17.6,0 days 02:24:35.717770,25,0.224937269,764,TRUE,0.074896879,"(512, 512)",0.000209837,mean,mean,4,2.22E-05,PRUNED
9,9,0.675023697,09:41.9,32:42.9,0 days 01:23:01.019990,25,0.308001801,96,TRUE,0.498088652,"(512, 512)",0.002933561,sum,sum,4,6.39E-06,COMPLETE
10,10,0.82477888,09:41.9,34:03.1,0 days 01:24:21.236985,25,0.665206812,764,FALSE,0.480617557,"(392, 392)",0.001459983,sum,max,4,1.87E-06,COMPLETE
11,11,0.786891396,09:41.9,32:12.3,0 days 02:22:30.451198,32,0.605744338,764,FALSE,0.188256942,"(256, 256)",0.003162091,mean,sum,3,2.70E-06,COMPLETE
12,12,0.830424085,09:41.9,41:08.8,0 days 01:31:26.922645,25,0.339005619,764,FALSE,0.043241719,"(512, 512)",0.007287698,sum,mean,5,2.23E-05,COMPLETE
13,13,0.811686281,09:41.9,35:22.9,0 days 01:25:41.049952,25,0.306695175,384,FALSE,0.361331205,"(256, 256)",0.000897066,sum,mean,3,1.23E-05,COMPLETE
14,14,0.812945399,09:41.9,52:54.1,0 days 02:43:12.173722,16,0.359064458,764,TRUE,0.076768395,"(256, 256)",0.00041433,sum,sum,4,3.36E-05,COMPLETE
15,15,0.721757602,09:41.9,33:15.9,0 days 02:23:33.974030,32,0.356856872,764,TRUE,0.354998923,"(256, 256)",0.000185738,sum,mean,3,2.21E-06,COMPLETE
16,16,0.754189774,05:30.4,55:52.5,0 days 00:50:22.036273,16,0.597741986,96,TRUE,0.046603477,"(392, 392)",0.000519285,sum,mean,2,1.14E-05,PRUNED
17,17,0.819703345,23:17.6,44:45.0,0 days 01:21:27.373586,25,0.425364596,384,FALSE,0.09289113,"(256, 256)",0.000730146,sum,max,3,7.94E-05,COMPLETE
18,18,0.517776886,31:48.5,38:44.2,0 days 00:06:55.697381,32,0.401348222,764,TRUE,0.377421568,"(392, 392)",0.000346743,mean,mean,2,1.01E-06,PRUNED
19,19,0.662081826,32:42.9,48:32.0,0 days 00:15:49.141696,25,0.194802524,764,FALSE,0.10497746,"(512, 512)",0.000231073,mean,max,3,8.20E-06,PRUNED
